# Total number of events: 10916

             -788400                   1                 193                 193
            -2365200                   1                1522                1522
            -3942000                   1                2034                2034
            -5518800                   1                1740                1740
            -7095600                   1                1443                1443
            -8672400                   1                1160                1160
           -10249200                   1                 821                 821
           -11826000                   1                 582                 582
           -13402800                   1                 443                 443
           -14979600                   1                 273                 273
           -16556400                   1                 190                 190
           -18133200                   1                 171                 171
           -19710000                   1                  84                  84
           -21286800                   1                  69                  69
           -22863600                   1                  55                  55
           -24440400                   1                  43                  43
           -26017200                   1                  28                  28
           -27594000                   1                  14                  14
           -29170800                   1                  14                  14
           -30747600                   1                   8                   8
           -32324400                   1                  11                  11
           -33901200                   1                   2                   2
           -35478000                   1                   4                   4
           -37054800                   1                   3                   3
           -38631600                   1                   2                   2
           -40208400                   0                   0                   0
           -41785200                   1                   4                   4
           -43362000                   0                   0                   0
           -44938800                   1                   1                   1
           -46515600                   0                   0                   0
           -48092400                   0                   0                   0
           -49669200                   0                   0                   0
           -51246000                   0                   0                   0
           -52822800                   0                   0                   0
           -54399600                   0                   0                   0
           -55976400                   0                   0                   0
           -57553200                   0                   0                   0
           -59130000                   1                   1                   1
           -60706800                   0                   0                   0
           -62283600                   0                   0                   0
           -63860400                   0                   0                   0
           -65437200                   0                   0                   0
           -67014000                   1                   1                   1
           -68590800                   0                   0                   0
           -70167600                   0                   0                   0
           -71744400                   0                   0                   0
           -73321200                   0                   0                   0
           -74898000                   0                   0                   0
           -76474800                   0                   0                   0
           -78051600                   0                   0                   0
           -79628400                   0                   0                   0
           -81205200                   0                   0                   0
           -82782000                   0                   0                   0
           -84358800                   0                   0                   0
           -85935600                   0                   0                   0
           -87512400                   0                   0                   0
           -89089200                   0                   0                   0
           -90666000                   0                   0                   0
           -92242800                   0                   0                   0
           -93819600                   0                   0                   0
           -95396400                   0                   0                   0
           -96973200                   0                   0                   0
           -98550000                   0                   0                   0
          -100126800                   0                   0                   0
          -101703600                   0                   0                   0
          -103280400                   0                   0                   0
          -104857200                   0                   0                   0
          -106434000                   0                   0                   0
          -108010800                   0                   0                   0
          -109587600                   0                   0                   0
          -111164400                   0                   0                   0
          -112741200                   0                   0                   0
          -114318000                   0                   0                   0
          -115894800                   0                   0                   0
          -117471600                   0                   0                   0
          -119048400                   0                   0                   0
          -120625200                   0                   0                   0
          -122202000                   0                   0                   0
          -123778800                   0                   0                   0
          -125355600                   0                   0                   0
          -126932400                   0                   0                   0
          -128509200                   0                   0                   0
          -130086000                   0                   0                   0
          -131662800                   0                   0                   0
          -133239600                   0                   0                   0
          -134816400                   0                   0                   0
          -136393200                   0                   0                   0
          -137970000                   0                   0                   0
          -139546800                   0                   0                   0
          -141123600                   0                   0                   0
          -142700400                   0                   0                   0
          -144277200                   0                   0                   0
          -145854000                   0                   0                   0
          -147430800                   0                   0                   0
          -149007600                   0                   0                   0
          -150584400                   0                   0                   0
          -152161200                   0                   0                   0
          -153738000                   0                   0                   0
          -155314800                   0                   0                   0
          -156891600                   0                   0                   0
